quote;author;context;source;date
Only with a very high signal to noise ratio (e.g., high true R^2) can torturing data lead to a confession to something other than what the analyst wants to hear.;Frank Harrell;NA;R-help;April 2010
If you don't want informative help files, it's really not much work to make uninformative ones.;Duncan Murdoch;in response to a question how to install a package without editing .Rd files appropriately before;R-help;May 2010
Dave Lubbers: R 2.7.2 - the manual says configure, make, which is what I did. So I did read the manual and followed the directions. The manual is too terse to get me there.<x>Duncan Murdoch: You used the wrong tense. In referring to R 2.7.2, only past tenses are grammatically correct. If you want to say "the manual *is* too terse", then you need to install R 2.11.0.;Dave Lubbers and Duncan Murdoch;on where to find libRmath;R-devel;May 2010
Soham: How to compute the p-value of a statistic generally?<x>Berton Gunter: runif(1);Soham and Berton Gunter;NA;R-help;May 2010
Karl Ove Hufthammer: Why not use 'predict.loess' (i.e., 'predict' on a loess object) directly?<x>Greg Snow: Because that would be simple, straightforward, and make sense, and not require knowledge about less obvious functions.;Karl Ove Hufthammer and Greg Snow;NA;R-help;May 2010
This reminds me of a quote I saw once (I think it may have been in one of those Murphy's Laws calendars), my parahpase:<x><x>If you make someone think that they are thinking,<x>      They will love you for it.<x>If you make them actually think,<x>      They will hate you for it.<x><x>This explains why people love pie charts and hate more effective graphs.;Greg Snow;NA;R-help;December 2009
On average, any data manipulation that can be described in a sentence or two of English can be programmed in one line in R. If you find yourself writing a long 'for' loop to do something that sounds simple, take a step back and research if an existing combination of functions can easily handle your request.;Erik Iverson;NA;R-help;June 2010
There are actual error messages, and until you show them, we can not help as the mind reading machine is currently off for repairs.;Dirk Eddelbuettel;after reports about errors with R CMD check;R-help;July 2010
"Knut Krueger: Is there any function available to combine those p values?<x>Stephan Kolassa: ?""+""";Knut Krueger and Stephan Kolassa;about ways to combine p values from different tests;R-help;July 2010
"So, with the item in the original query:<x><x>  if (x<-3) do_something;<x><x>if they wrote it as<x><x>  if (x<(-3)) do_something;<x><x>there would be no problem (and no doubt about what went with what). Of course in complicated expressions this could induce an episode of ocular lispopia, but apart from that it's safe!";Ted Harding;about potential confusion between assignment and comparisons with negative numbers;R-devel;August 2010
"Spencer Graves: What do you think about adding a ""No RTFM"" policy to the R mailing lists?<x>Michael Dewey: You raise an interesting point but the responses to your post remind us that people (and indeed whole cultures) are not all situated at the same point on the continuum of directness between ""It's a cow, stupid"" and ""From this side it looks not unlike a cow"".";Spencer Graves and Michael Dewey;"reply after a long discussion of a potential ""No RTFM"" policy";R-help;August 2010
Dirk Eddelbuettel: Could it get any more un-scientific and un-empirical? Maybe we should debate whether it is faster on Thursdays than on Wednesdays too?<x>Thomas Lumley: That's easy. It's faster on Wednesdays, because faculty meeting and seminar are on Thursday (so more faculty are on campus using the computers) and homework for the applied regression sequence is due on Friday (so more students are using the computers).;Dirk Eddelbuettel and Thomas Lumley;after a rather vague disucssion which language is fastest for numerical computations;R-help and private communication;September 2010
datayoda: Bing is my friend...I found the cumsum() function.<x>Dirk Eddelbuettel: If bing is your friend, then rseek.org is bound to be your uncle.;datayoda and Dirk Eddelbuettel;after searching for a function that computes cumulative sums;stackoverflow.com;October 2010
This is one of those cases, in my opinion, where R's documentation drops you into a flat landscape, in the middle of nowhere, in a thick mist.;Ted Harding;helping a user confused about R's partial matching behavior;R-help;November 2010
I used a heuristic... pulled from my posterior. That makes it Bayesian, right?;JD Long;in a not too serious chat about modeling strategies;Stackoverflow;November 2010
If you can do with[out a] Makefile, do without a Makefile.;Dirk Eddelbuettel;in a discussion about the benefits of (not) changing the compiler in R packages;R-SIG-HPC;December 2010
We also have huge amounts of work going into calibration transfer, i.e. making quantitative predictive models work on a different instrument. This is always a whole lot of work, and for some fields of problems at the moment considered basically impossible even between two instruments of the same model and manufacturer.;Claudia Beleites;in a discussion about publication bias and scientific validity;R-help;January 2011
This reminds me of a famous FORTRAN code snippet:<x><x>10 STOP<x>STOP<x>STOP<x>! IN CASE STILL SKIDDING<x>GOTO 10<x>;Carl Witthoft;in response to the question how to completely stop R scripts after stop();R-help;January 2011
"There is a reason that the speedometer in your car doesn't just read ""slow"" and ""fast"".";Frank Harrell;warning about the use of cutoffs after logistic regression;R-help;February 2011
The style for JSS now enforces (via Achimitization) the use of quotes.;Michael Friendly;"on whether to quote or not to quote arguments like library(""Hmisc"") or help(""mean"")";R-help;March 2011
"Although there is almost never a ""No"" in R, the best short answer is: ""No"".";Uwe Ligges;"in response to the question whether R has a concept of ""const objects"" as in C++ that avoid modification";R-help;March 2011
Tested solutions offered when reproducible examples are provided.;David Winsemius;suggesting a potential solution to a vague problem description;R-help;April 2011
The good way to do it is to include the following comment at the beginning:<x>"# This is a holy Script, please edit it not";Kenn Konstabel;"on ""... how to protect R Script files from inadvertent editing by users.""";R-help;April 2011
Sorry, but this is the R-help list.  The 'R Spam' list is over at /dev/null.;Dirk Eddelbuettel;after a poster misused the mailing list for advertising;R-help;April 2011
"You might also consider a more informative subject line. ""Help needed"" is true for all questions (not answers) on R-help. Just think, why is this list called R-***help***?";Peter Ehlers;after answering a help request;R-help;April 2011
"I think this is kind of like asking ""will your Land Rover make it up my driveway?"", but I'll assume the question was asked in all seriousness.";Ista Zahn;in response to a request for replication of some data preprocessing done in SAS;R-help;April 2011
"In those first years after Bell Labs it was always a struggle to maintain my access to S and Port -- actually even Unix was a problem. I recall the director of campus computing services telling me that Unix wasn't appropriate for educational institutions since it was ""too flexible.""";Roger Koenker;in a discussion about nlminb;private communication;April 2011
Joshua Wiley: ... the advantages of formal classes seem worth at least not entirely dismissing.<x>Jim Lemon: Hmmm, yeah, that's about the grammatical equivalent of S4 classes.;Joshua Wiley and Jim Lemon;in a discussion about the relative advantages of S3 and S4 classes;R-help;May 2011
For recursive objects, search for recursive objects.;Barry Rowlingson;"in a thread about ""Recursive objects"" and how to search for former discussions about the topic";R-devel;May 2011
Most people pay infinitely more to Microsoft for Windows than they pay to R Core for R. I hope that's also the ratio of their complaints to Microsoft about this bug to their complaints to us about R.;Duncan Murdoch;after a report that the default R version associated with .R files could not be changed in the standard Windows dialogs;R-help;May 2011
The trouble with nonstandard evaluation is that it doesn't follow standard evaluation rules...;Peter Dalgaard;about nonstandard evaluation in the curve() function;R-help;June 2011
Vaishali Sadaphal: I need to give my R code to my client to use. I would like to protect the logic/algorithms that have been coded in R. This means that I would not like anyone to be able to read the code.<x>Duncan Murdoch: R is an open source project, so providing ways for you to do this is not one of our goals. [...] If you think your client will steal from you, then you should find another client.;Vaishali Sadaphal and Duncan Murdoch;NA;R-help;July 2011
Well..... SAS is SAS, but R is FREE...;Abhishek Rathore;in a discussion about R vs. SAS;LinkedIn Group Stat-Math Statistics;July 2011
It is becoming apparent that you do not know how to use the results from either system. The progress of science would be safer if you get some advice from a person that knows what they are doing.;David Winsemius;in response to a user that obtained different linear regression results in R and SPSS and wanted to know which one to use;R-help;July 2011
For quite a while, bug-for-bug compatibility with S-PLUS v 3.x was considered important to allow people to port their packages between systems.;Peter Dalgaard;NA;R-help;February 2009
I've been reading Data Analysis Using Regression and Multilevel/Hierarchical Models by Gelman and Hill. I'm getting acquainted with my new cartoon character friends Elmer (lmer) and Bugs, and at some point it may become clear what is going on. At the moment though, the whole thing seems a bit Looney Tunes.;Paul Miller;NA;R-SIG-Mixed-Models;August 2011
Thank your for your entry in the Poorly Capitalized and Inadequately Searched Posting Contest. You will be advised of your ranking in due course.;David Winsemius;in response to an all-lower-case question on a simple clustering task;R-help;August 2011
Don't do as I say, do as Hadley does.;Barry Rowlingson;in a discussion about the workflow for writing R packages, see also fortune(128);R-devel;September 2011
R is wonderful, but it cannot work magic.;Rolf Turner;answering a request for automatic generation of 'data from a known mean and 95% CI';R-help;October 2011
If we told you all of R's secrets, we'd have to kill you.;Duncan Murdoch;answering a request for too detailed documentation;R-help;October 2011
I know barely more than zero about R: until yesterday I didn't know how to spell it.;Pete Wilson;NA;stackoverflow;October 2011
"Kevin Wright: Doug already mentioned the limitations of open source optimization code. Open source has benefits, but simply being open doesn't necessarily mean better.<x><x>Joshua Wiley: Actually, a series of studies I have conducted including theoretical proofs and empirical evidence proves open source to be unequivocally better. If you are interested, you can pay me to use the assertion, but the supporting details are restricted so you must accept that my internal checks and quality control are sufficient and the findings are correct and accurate. Details follow.<x><x>License and Use of I. Ben Fooled's findings:<x><x>""Open source is unequivocally better"" is $10 for personal use or $20 for each public use of the assertion. It is also possible to get a yearly license, but note that this does not include updates. Support is extra. If you wish to use the assertions on a multicore system, there is an additional $5 per core per assertion fee. A student version is available for pedagogical purposes only: ""pn src s nqvcll bttr"". If you need more than 20 letters, please upgrade to the full version.<x><x>This is the best thing since bread, but don't take my word for it. Here are some trite testimonials putatively from customers:<x><x>""Using I. Ben Fooled's assertion has really revolutionized my work. I love it. I use it every day"" ~ Jane, Data Expert<x><x>""I lost 130 lbs on this system"", 'wait, this isn't a weightloss testimonial? Sorry!' ""My work is easily twice as efficient since I switched to I. Ben Fooled's product."" ~ John, Entrepeneur";Kevin Wright and Joshua Wiley;NA;R-SIG-Mixed-Models;October 2011
"As with many tools in this domain, for effective use they require more knowledge than many of their users possess, and can be dangerous because they seem to ""work"".";John C. Nash;in the context of stochastic optimization;R-help;December 2011
Unfortunately, this is one of those situations where as far as I can tell all of the real statisticians are out there playing with large data sets where the small-sample corrections are not so important and leaving the rest of us to figure it out for ourselves...;Ben Bolker;about the 'correct' degrees-of-freedom correction in Wald statistics for GLMMs;R-SIG-Mixed-Models;December 2011
David Winsemius: Any of your staff can view the (open) source code just as any other member of the human race.<x>Uwe Ligges: I do not think the GPL excludes other species...;David Winsemius and Uwe Ligges;following a request for access to the R sources;R-help;December 2011
I think the amount of people on this list who understand your question is roughly zero.;Uwe Ligges;in response to a non-reproducible problem for which additionally subject and body did not match well;R-help;January 2012
It's not meant for sampling weights. It's meant for precision weights. How best to include sampling weights in mixed models is a research problem at the moment, but you can rely on getting the wrong answer if you just use the weights= argument.;Thomas Lumley;in reponse to a question about specifying sampling weights in lme4;R-help;January 2012
Perhaps same thing that will happen when those monks finish the Towers of Hanoi?<x>2 * 3^198<x>[1] 5.902533e+94;David Winsemius;in reponse to a question about expand.grid(x1=1, x2=1:2, x3=1:3, x4=1:3, x5=1:3, ..., x200=1:3);R-help;January 2012
I'll go back to lurking in the daily R-Helps and not ask any more questions until I've read all the old R-help messages. I'm working on December 1998 right now and reading forward. Perhaps by next year I'll will have read all the old R-help postings and I'll dare ask another question then.;Earl F. Glynn;NA;R-help;January 2012
Dirk Eddelbuettel: Devel is in the detail.<x>Douglas Bates: Typo or profound insight?;Dirk Eddelbuettel and Douglas Bates;NA;Rcpp-devel;February 2012
There seem to be three canons: R-Forge, Rforge, and for the Followers of Wickham, github. Four, if you count OmegaHat.;David Winsemius;in a discussion about the 'canonical' source code management platform for R;R-help;February 2012
The problem here is that the $ notation is a magical shortcut and like any other magic if used incorrectly is likely to do the programmatic equivalent of turning yourself into a toad.;Greg Snow;in response to a user that wanted to access a column whose name is stored in y via x$y rather than x[[y]];R-help;February 2012
Etienne B. Racine: I haven't seen any documentation about this behavior.<x>Edzer Pebesma: Isn't the more important question whether you saw documentation that is in conflict with this behaviour?<x>Tom Gottfried: Taking that to the extremes: undocumented software always works perfectly.;Etienne B. Racine, Edzer Pebesma, and Tom Gottfried;NA;R-SIG-Geo;February 2012
"That's a casual model, not a causal model - you can tell the difference by looking for the word ""excel"".";Hadley Wickham;commenting on an Excel chart showing student's SAT score increases with family income, without considering further covariates;"http://twitter.com/#!/hadleywickham";February 2012
Careful now, or I'll get into a rant about how much you pay for ArcGIS and whether you are getting value for money if bugs become 'well-known'! Bugs in R tend to be either 'obscure' or 'fixed' :);Barry Rowlingson;in response to a request for rgdal to work around a well-known bug in ArcGIS;R-SIG-Geo;March 2012
Igor Sosa Mayor: The problem is that it gives the result that I want.<x>Sarah Goslee: That's a new sort of problem.;Igor Sosa Mayor and Sarah Goslee;NA;R-help;March 2012
I'd have called them .Rob for the current .rds file format (single object), and .Ros for the current .rda file format (>1 objects). [actually I would have called them .Rob or .Robject, and .Rwk or .Rworkspace but then I noticed that if you had a .Rob you had to have a .Ros so as not to favour one or other of the project originators :)];Barry Rowlingson;in a discussion about .rda and .rds formats;R-help;April 2012
R is a strange, deeply flawed language that nevertheless has an enthusiastic and rapidly growing user base. What about R accounts for its popularity in its niche? What can language designers learn from R's success?;John Cook;"Abstract of ""Why and How People Use R""";Lang.NEXT 2012;April 2012
Finally, as author of the code used to put CG in optim, I'll advise against its use. One of my least successful pieces of code. Rcgmin is better, but you really do need analytic derivatives to make it sing. For 5 parameters, use NM, or better the nmk from dfoptim package.;John C. Nash;in a discussion about optimization of a multinomial log-likelihood;R-help;May 2012
Some OSX users know that OSX is really Unix [...], others think that OSX is cooler Windows, and they have ontological problems with non-Apple phenomena and constructs.;Roger Bivand;NA;R-SIG-Geo;May 2012
I see three drivers of problems with R.<x>The first is that R is useful. [...]<x>The second driver of problems with R is that it is both a programming language and an interactive language. There is a tension there that is unavoidable. [...]<x>The third big driver of problems is that R is not software, it is a community.;Patrick Burns;Inferno-ish R;CambR User Group Meeting, Cambridge;May 2012
As long as R stayed in Ross and Robert's computer lab, R could be perfectly clean and beautiful. [...]<x>The moral of the story is that if you want to create a beautiful language, for god's sake don't make it useful.;Patrick Burns;Inferno-ish R;CambR User Group Meeting, Cambridge;May 2012
If you think you can learn all of R, you are wrong. For the foreseeable future you will not even be able to keep up with the new additions.;Patrick Burns;Inferno-ish R;CambR User Group Meeting, Cambridge;May 2012
"The phrase ""does not work"" is not very helpful, it can mean quite a few things including:<x>* Your computer exploded.<x>* No explosion, but smoke is pouring out the back and microsoft's ""NoSmoke"" utility is not compatible with your power supply.<x>* The computer stopped working.<x>* The computer sits around on the couch all day eating chips and watching talk shows.<x>* The computer has started picketing your house shouting catchy slogans and demanding better working conditions and an increase in memory.<x>* Everything went dark and you cannot check the cables on the back of the computer because the lights are off due to the power outage.<x>* R crashed, but the other programs are still working.<x>* R gave an error message and stopped processing your code after running for a while.<x>* R gave an error message without running any of your code (and is waiting for your next command).<x>* R is still running your code and the time has exceeded your patience so you think it has hung.<x>* R completed and returned a result, but also gave warnings.<x>* R completed your command, but gave an incorrect answer.<x>* R completed your command but the answer is different from what you expect (but is correct according to the documentation).<x><x>There are probably others. Running your code I think the answer is the last one.";Greg Snow;NA;R-help;April 2012
"Richard M. Heiberger: That will make it easier for the next person converting from windows to mac.<x>Simon Urbanek: Well, it certainly doesn't make sense to introduce Windows idiosyncrasies to Mac - if you convert to Mac you will need to buy into the ""just-works"" philosophy. If you are trying to recreate your Windows environment, you have already failed and should go back :).";Richard M. Heiberger and Simon Urbanek;in a discussion about the location of the R FAQ on different platforms;R-SIG-Mac;July 2012
I think, therefore I R.;William B. King;in his R tutorials;http://ww2.coastal.edu/kingw/statistics/R-tutorials/;July 2010
"Jeremy Koster: My students were looking at the estimated varying intercepts for each higher-level group (or the ""BLUP's"", as some people seem to call them).<x>Douglas Bates: As Alan James once said, ""these values are just like the BLUPs - Best Linear Unbiased Predictors - except that they aren't linear and they aren't unbiased and there is no clear sense in which they are ""best"", but other than that ...""";Jeremy Koster and Douglas Bates;NA;R-SIG-Mixed-Models;July 2012
I wish there was a better way for me to learn this stuff than constantly being wrong in public.;Hadley Wickham;in a discussion about efficient expansion of vectors and algorithmic complexity;R-help;July 2012
Hans Ole Orka: I try to reproduce the SAS proc reg stepwise model selection procedure in R.<x>Brian D. Ripley: But why? If you want 1950s statistical methods why not use a 1960s package? There are enough problems with stepwise selection (see e.g. the book by Frank Harrell and many postings here) even with a well-defined criterion like AIC, but that is better than an ad hoc algorithm, especially one based on forwards selection.;Hans Ole Orka and Brian D. Ripley;NA;R-help;September 2007
The computational ease with which an abundance of parameters can be estimated should not be allowed to obscure the probable unwisdom of such estimation from limited data.;Arthur P. Dempster;NA;"in ""Covariance selection"", Biometrics 28 (1), 157-175";March 1972
I thought RStudio was amazing, but RStudio with knitr is approximately `formatC(round(runif(1, 1e8, 1e9)), digits=10, big.mark=',')` times better than RStudio alone!;@Geneorama;comment on RStudio's new web publishing service;RStudio blog;June 2012
Awkwardly worded questions will get much better answers if they are accompanied by some test data.;David Winsemius;in response to a poster's apology for an 'awkwardly worded question';R-help;September 2012
Liang Che: For example, if coefficient's p-value is less than 0.1 I want the stepwise to automatically drop that variable. Can the stepAIC be customized to do that? SAS seems to be able to customized stepwise function with p-value or cooks'd.<x>David Winsemius: You might take some time to ponder the possibility that the fact that it's not easy in R might be useful information in its own right.;Liang Che and David Winsemius;NA;R-help;September 2012
"Josh O'Brien: Figuring out what was going on here obsessed me for several days, before I realized ""Oh, duh. I should ask this on [Stackoverflow] and get some better minds working on this for me!""<x>Brandon Bertelsen: I've learned to give up after 30 minutes. It's cheaper to pay people in checkmarks and upvotes :)";Josh O'Brien and Brandon Bertelsen;discussing a package's definition of reorder.factor changing results;Stackoverflow;October 2012
This should be FAQ 0.0. No other thing is asked as frequently as this. This is the FAQest of all FAQs, and a mother of all FAQs.;Jari Oksanen;answering yet another question related to FAQ 7.31;R-help;February 2013
"I've already got an apartment reserved for me in one of Pat Burns's ""R Inferno"" levels, and I don't want to descend even further.";Berton Gunter;commenting on his own somewhat off-topic comment;R-help;February 2013
Running as administrator is like heroin... any problems it solves it replaces with worse problems.;Jeff Newmiller;about running R CMD check as administrator;R-help;February 2013
I think the rule is that you can do anything as long as you don't complain. If you want to complain, you must follow the instructions.;Jari Oksanen;about not following the instructions when compiling R-devel;R-devel;February 2013
I think that the formula language does allow expressions with '/' to represent nested factors but I can't check right now as there is a fire in the building where my office is located. I prefer to simply write nested factors as factor1 + factor1:factor2.;Douglas Bates;NA;R-SIG-Mixed-Models;February 2013
Bandwidth selection is an unresolved (and possibly unsolvable) problem in smoothing, so you're perfectly justified in trying/choosing an arbitrary value if it produces good pictures!;Adrian Baddeley;answering a user's question about the choice of smoothing parameter when using the density.ppp() function from the spatstat package;private communication;March 2013
Rickyfox: Dang it how could I have missed this? Thx for the answer, I feel incredibly stupid now.<x>Juba: Never underestimate the power of R to make you feel stupid.;Rickyfox and Juba;in an exchange over how ifelse() works;stackoverflow.com;March 2013
If things are not readily available in R it is always good to pause and reflect if there might be a good reason.;Brian D. Ripley;about how to get t statistics for arima();R-help;March 2013
Sooner or later most R beginners are bitten by this all too convenient shortcut. As an R newbie, think of R as your bank account: overuse of $-extraction can lead to undesirable consequences. It's best to acquire the '[[' and '[' habit early.;Peter Ehlers;about the use of $-extraction;R-help;March 2013
"Most optimization problems have more than one answer, and the ""wrong"" ones often seem to be easier to find.";John C. Nash;about nonlinear optimization problems;R-help;April 2013
JPM Miao: Why can't R understand if(num!=NA)?<x>Peter Dalgaard: Because comparison with an unknown value yields an unknown result.<x>David Winsemius: Anything else would violate the Second Law of Thermodynamics. We cannot have comparisons reducing entropy, now can we? Uncertainty cannot run uphill.;JPM Miao, Peter Dalgaard, and David Winsemius;on why is.na() is needed;R-help;May 2013
In that flash of darkness he heard people saying - he was a failure - that R was beyond him.;Virginia Woolf;NA;To The Lighthouse;May 1927
This is a bit like asking how should I tweak my sailboat so I can explore the ocean floor.;Roger Koenker;in response to a question about tweaking the quantreg package to handle probit and heckit models;R-help;May 2013
Justin: Is there a function that just does whatever I'm thinking (aka whatever my homework question is...)?<x>Joshua Ulrich: That's the magic_pony function.;Justin and Joshua Ulrich;NA;stackoverflow.com;June 2013
The job of computer output, in my view, is to be as informative as possible while keeping the output as terse as possible.; John Maindonald;NA;R-SIG-Mixed-Models;June 2013
"You need to get the hang of reading the online help. The information required is actually there in ?dotchart --- it's just tersely and obscurely expressed. A certain degree of optimism is required. You need to ***believe*** that the information is there; then ask yourself ""What could they possibly mean by what they have written that would tell me what I need to know?"".";Rolf Turner;on reading the help pages;R-help;June 2013
But a spatial benchmark suite would be nice anyway.<x>I've just benchmarked my time and I have 0s to do this.;Barry Rowlingson;on benchmarking spatial functionality and assessing improvements with pqR;R-SIG-Geo;June 2013
"John Fox: I've never understood why it's legal to change the built-in global ""constants"" in R, including T and F. That just seems to me to set a trap for users. Why not treat these as reserved symbols, like TRUE, Inf, etc.?<x>Rolf Turner: I rather enjoy being able to set pi <- 3.";John Fox and Rolf Turner;NA;R-help;June 2013
I have it on good authority that a few of the statements in Bolker (2008) are out of date or slightly incorrect :-) .;Ben Bolker;in reply to a user that cited his 2008 practical guide to generalized linear mixed models;R-SIG-Mixed-Models;August 2013
Well, the biggest room in the world is the room for improvement :);Soren Hojsgaard; in reply to a suggestion to make pbkrtest and lme4 more robust;R-SIG-Mixed-Models;August 2013
I'm still confused about how to avoid the wrath of the CRAN-devel daemon, whose appetite for new morsels of developer flesh seems ever increasing and makes keeping even a stable package up-to-date a moving target.;Michael Friendly;about checking packages for CRAN;R-devel;September 2013
Maybe I'll become a theoretician. Nobody expects you to maintain a theorem.;Doug Bates;about keeping both Matrix and RcppEigen in sync with CHOLMOD;lme4-authors;September 2013
Bert Gunter: However, I do not understand the substitute(...()) idiom. Would you care to explain it? (No is an acceptable answer!).<x>Bill Dunlap: I don't completely understand it either, I treat it as an idiom. I saw it on this list once.;Bert Gunter and Bill Dunlap;on how to recover object names when using the ... argument in a function;R-help;October 2013
The existence of a method is not a sufficient reason to use that method.;Jari Oksanen;about relative advantages of several multivariate analysis methods;R-SIG-Ecology;November 2013
I would heed the warnings and diagnostics. They are there for a reason. The Ostrich algorithm does not help you.;Dirk Eddelbuettel;in reply to a questioner who said he had not run R CMD check because he suspected other problems would be found;Stackoverflow;November 2013
Either I am misunderstanding your intent or you need another cup of coffee.;Rolf Turner;in response to a user who did not understand his advice;R-help;November 2013
"You seem to be falling prey to a common misconception that ""R"" is some monolithic tool, when in fact it is a herd of cats.";Jeff Newmiller;in response to a user who did not look for packages;R-help;December 2013
Basically, you are calling .Internal from the command line. It is not designed to be called from there and only wizards know what happens if it is. (The set of wizards who might know whether it makes any sense at all does not include me!);Peter Dalgaard;NA;R-devel;May 2014
Jeff Newmiller's rhelp/ggplot strategy checklist:<x>> Reproducibility == good (except for mixing in invalid code and failing to set RNG seed)<x>> HTML email == bad<x>> Missing subject == bad<x>> Using matrices with ggplot == pushing a rope<x>> Using for loops to build a ggplot == missing the point<x>> Using wide-form data with ggplot == pushing a rope;Jeff Newmiller;in response to a somewhat involved ggplot2 question;R-help;June 2014
Michael Mason: Thanks! That worked.<x>Martin Maechler: Of course: As in about 99.99% of all cases where Bill Dunlap helps.;Michael Mason and Martin Maechler;after Bill Dunlap helped with a plot.hclust problem;R-help;November 2014
When in doubt, keep adding slashes until it works.;Joran Elias;on how to escape a backslash in R;Stackoverflow;March 2015
.RData files (the ones with nothing before the period) are just traps for your future self, with no documentation. I avoid them like the plague.;Jeff Newmiller;in a discussion on whether to store certain defaults in .Rprofile or .RData files;R-help;March 2015
"hist(rnorm(1e6), col = colors()[grep(""grey"", colors())], nclass = 108, main = ""R's 108 Shades of Grey"")";Fritz Scholz;proving R has more than 50 Shades of Grey;private communication;March 2015
"In real life, be very careful before denigrating a child to its mother or father... so calling a something a bug in R which is none, is evoking feelings among R's parents... ;-)";Martin Maechler;after a package author reported a bug in R that was actually a bug in his own code;R-devel;May 2015
Welcome to the wonderful world of heterogeneity (tau^2) estimators in meta-analysis. The question of which estimator to choose never fails to provide fun and entertainment for the entire family and I predict that it will do so for generations to come. Please quote me on that!;Wolfgang Viechtbauer;in response to a request for the appropriate heterogeneity estimator;R-SIG-Mixed-Models;May 2015
Rahul: Microsoft's being a part of this makes me worried about R's future. It's like a Michelin star restaurant becoming part of a McDonald's franchise chain.<x>Andrew Gelman: I dunno, R's not quite a Michelin-starred restaurant. It's more like a food truck.<x>Daniel Lakeland: I would say if R is like a food truck, it's a TARDIS food truck that's bigger on the inside and offers a vast array of multi-ethnic cuisine which, if not all entirely tasty, is at least A rated on sanitation.;Rahul, Andrew Gelman, and Daniel Lakeland;in a discussion about Excel interfaces and Microsoft being part of the new R Consortium;AndrewGelman.com;July 2015
The urge to imitate other statistical packages that rely on profusion of dummies should be resisted. R repression functions can handle factor variables.;David (Muphry) Winsemius;about factors in regressions...and the dangers of drinking and deriding;R-help;September 2015
It will be included in the next version of devtools - it's totally do-able, but no one has done it yet.;Hadley Wickham;about doing things;R-help;February 2016
"Barry Rowlingson: I've been unable to locate any version of S online. Does anyone have a copy, somewhere, rusting away on an old hard disk or slowly flaking off a tape? [...] Obviously this would be for archaeological purposes.<x>John Chambers: [...] somehow ""historical"" would be less unnerving than ""archeological"".<x>Barry Rowlingson: At least I didn't say palaeontological.";Barry Rowlingson and John Chambers;on the availability of the source code for early versions of S;R-devel;February 2016
Ooops, that was answering the question you actually asked. The one you meant to ask is answered by this part:<x>The sort order for character vectors will depend on the collating sequence of the locale in use: see Comparison.;Peter Dalgaard;demonstrating his mind-reading skills when answering questions about sorting characters;R-help;March 2016
Note that there is a reasonable discussion in Writing R Extensions, but as always, you have to find it first.;Dirk Eddelbuettel;in a discussion about where to include data-generating scripts in an R package;R-pkg-devel;March 2016
They're just statistics. How could it hurt to look at them?;Duncan Murdoch;in a discussion about the merits and perils of p-values;R-help;April 2016
I prefer _Melodramatic Analysis_.;Dirk Eddelbuettel;after Barry Rowlingson noticed 'Sentimental Analysis' as a misspelled 'Sentiment Analysis' on datascience.stackexchange.com;R chatroom on stackoverflow.com;April 2016
Weird. Over at ESS they discuss how to debug with %>% when I always thought that having %>% was the bug.;Dirk Eddelbuettel;about an ESS issue ticket discussion concerning debugging when %>% is used;R chatroom on stackoverflow.com;April 2016
"The problem with attach is what it does, not how it does it. If you do the same thing attach does any other way, you've managed to create all the problems of attach without using attach. If I tell you chopping your finger off with a knife is bad, your question shouldn't be ""Okay, knives are bad. How do I chop my finger off without a knife? Can I use scissors or is there a better way?""";Gregor;about alternatives to attach();stackoverflow.com;May 2016
Teach a man to fish, and he'll use StackOverflow for a day. Give him a fish, and he'll use StackOverflow for a lifetime of free fish.;Joshua Ulrich;about pointing to R documentation on StackOverflow;stackoverflow.com;May 2016
"You should try things; R won't break.";Duncan Murdoch;encouraging a user to explore R's graphical capabilities;R-help;May 2016
Please don't apply R like a magic answers box, because you can mislead others and cause harm.;Jeff Newmiller;about how much statistical knowledge is needed for using R;R-help;May 2016
Your example requires all choices of 1541 out of 3000, which I would expect to take somewhere near age-of-the-universe seconds to compute. The code uses a clever nested computation due to Gail et al which will cut that time down to infinity/10.;Terry Therneau;on an example with exact computations in coxph;R-help;June 2016
Performance tweaks are more often bug sources than fixes.;Duncan Murdoch;on Martin Maechler's optimistic plan of porting performance improvements from R's development version to R x.y.z (z >= 1) patch releases;R-core;June 2016
"This is like asking, ""My car doesn't work. Can anyone tell me what is wrong?""";Jeff Newmiller;"in response to the generic question why ""some packages do not work"" in R 3.2.5";R-help;June 2016
If we put in a function into rstan that dropped chains, people would use it.;Ben Goodrich;about (not) discarding selected chains from a stanfit object;Stan-users;December 2016
